ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Score,Adjusted Score,BMI
63019,Markku Olavi Koski,M,28,181,73,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,36.4,72.8,22.28259211
65885,Scotty Lago,M,22,185,77,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,Bronze,42.8,85.6,22.49817385
66234,Justin Lamoureux,M,33,188,75,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,35.9,71.8,21.22000905
74076,Markus Malin,M,22,176,66,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,18.6,37.2,21.30681818
94822,Peetu Ilari Piiroinen,M,21,165,60,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,Silver,45,90,22.03856749
95601,Iouri Aleksandrovich Podladtchikov,M,21,184,76,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,42.4,84.8,22.44801512
126886,"Louis ""Louie"" Vito",M,21,165,68,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,39.4,78.8,24.97704316
130018,Shaun Roger White,M,23,175,70,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,Gold,48.4,96.8,22.85714286
14988,"Gregory ""Greg"" Bretz",M,23,188,88,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,26.5,26.5,24.89814396
17490,Kent Callister,M,18,175,72,Australia,AUS,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,68.5,68.5,23.51020408
25675,Danny Davis,M,25,175,73,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,53,53,23.83673469
44533,David Habltzel,M,17,175,65,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,88.5,88.5,21.2244898
45066,Christian Haller,M,24,175,72,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,51.5,51.5,23.51020408
48761,Ayumu Hirano,M,15,160,50,Japan,JPN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,Silver,93.5,93.5,19.53125
48769,Taku Hiraoka,M,18,171,63,Japan,JPN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,Bronze,92.25,92.25,21.5450908
95601,Iouri Aleksandrovich Podladtchikov,M,25,184,76,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,Gold,94.75,94.75,22.44801512
99229,Tim-Kevin Ravnjak,M,17,172,66,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,72.25,72.25,22.30935641
109684,Shi Wancheng,M,23,179,78,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,81,81,24.34380949
130018,Shaun Roger White,M,27,175,70,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,90.25,90.25,22.85714286
134606,Zhang Yiwei,M,21,172,68,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,NA,87.25,87.25,22.98539751
